id;project_id;project_name;discount_tier;company_name;account_manager;est_quantity;contract_start_period;contract_end_period
1;contextually-based Alaska Fresh;Table Micronesia;Center;payment utilize Account;Regional;73465;2023-02-19T23:50:14;2023-02-20T00:07:39
2;Soft;Sleek Assistant Bike;Guadeloupe digital;Malagasy Alley Practical;solution;79445;2023-02-19T10:45:07;2023-02-20T09:31:36
3;index Diverse;Brand copying;Corners Buckinghamshire Keyboard;Oklahoma;Tennessee Direct Radial;29083;2023-02-20T05:10:06;2023-02-19T17:25:48
4;Washington;systemic functionalities;open-source Lead;application;calculate back-end;33082;2023-02-19T15:20:51;2023-02-19T13:23:57
5;ivory deliverables Small;invoice digital parsing;Berkshire Vision-oriented empowering;Small Pakistan Directives;bluetooth Borders;33319;2023-02-19T11:22:17;2023-02-19T10:15:39
6;Corporate impactful;matrix;Metal matrix back-end;Cross-group compelling;Cote;8672;2023-02-19T23:39:34;2023-02-19T22:37:57
7;Towels Passage blue;Prairie;District local Springs;program salmon Bedfordshire;Ball PCI Arabia;65835;2023-02-20T02:17:34;2023-02-19T13:09:46
8;black disintermediate;Buckinghamshire;Handmade bypassing;Borders;Handmade Swiss;11924;2023-02-19T10:28:22;2023-02-19T22:54:13
9;olive deliverables;salmon;Philippines;programming Technician Organized;initiatives;87447;2023-02-19T23:57:42;2023-02-19T12:35:43
10;Prairie SMTP;alarm;Ball;York Designer;brand;22638;2023-02-20T02:27:46;2023-02-19T19:22:50
